Exch,ScripCode,TradeDate,OpenRate,HighRate,LowRate,CloseRate,Qty
N,154,36957,8.6,12.25,8.6,11.15,26200
N,154,36960,12,12,11,11.1,423
N,154,36961,10.85,10.85,10.6,10.6,1800
N,154,36962,9.15,9.15,9.15,9.15,50
N,154,36963,11.5,11.5,10.7,10.7,104
N,154,36964,9,10.5,9,10.5,727
N,154,36967,10,10,9.65,9.65,101
N,154,36968,9.05,9.9,8.15,9.9,997
N,154,36969,10.25,10.25,10.25,10.25,68
N,154,36970,9.75,12.1,9.75,12.1,104
N,154,36974,9.15,11,9.15,11,418
N,154,36975,12.7,12.7,11.1,11.1,12
N,154,36977,10,10,10,10,300
N,154,36978,10,10.1,10,10.1,165
N,154,36981,10.5,10.5,10.5,10.5,16
N,154,36985,10.5,12.5,10.5,12.5,851
N,154,36990,12.5,12.5,12.5,12.5,1
N,154,36991,13,13,13,13,307
N,154,36995,12,12,11.25,11.25,700
N,154,36996,11.2,11.2,11.15,11.15,100
N,154,36997,11,11,10.3,10.3,100
N,154,36998,11.05,11.05,11.05,11.05,50
N,154,36999,11.55,11.65,11.55,11.65,83
N,154,37002,12,12,12,12,51
N,154,37003,12,12,12,12,22
N,154,37004,12,12,12,12,200
N,154,37006,9.1,10.5,9.1,10.5,109
N,154,37009,12,12,12,12,50
N,154,37012,12,12,11.55,11.55,333
N,154,37016,10.9,10.9,10.9,10.9,100
N,154,37017,10.8,11.45,10.8,11.45,74
N,154,37018,9,12.6,9,12.55,178
N,154,37019,12.05,12.05,12.05,12.05,100
N,154,37020,11.5,11.5,11.35,11.5,1274
N,154,37023,10.5,11.25,10.5,11.25,37
N,154,37024,11.1,11.1,11.1,11.1,50
N,154,37025,11.15,11.15,11.15,11.15,310
N,154,37026,11.5,11.5,11.5,11.5,198
N,154,37027,12.5,12.95,12.5,12.95,450
N,154,37030,10.95,11.1,10.95,11.05,455
N,154,37031,10.3,10.3,10.25,10.25,234
N,154,37032,10.55,10.55,10.55,10.55,25
N,154,37033,10.85,12,10.85,11.95,209
N,154,37034,11.85,11.9,11.1,11.1,221
N,154,37038,11.55,11.55,11.55,11.55,42
N,154,37040,11.1,13.5,11.1,13.5,77
N,154,37041,11.3,11.55,11.3,11.55,91
N,154,37044,11.15,12.5,11.15,12.5,125
N,154,37046,11,11,10.6,10.6,305
N,154,37047,10.25,12.25,10.25,12.25,64
N,154,37048,12.35,12.35,10.75,11.25,371
N,154,37051,10.7,11.5,10.7,11.5,197
N,154,37052,10.75,12.3,10.75,11.85,256
N,154,37053,12.5,12.5,11.35,12,233
N,154,37054,11.65,11.65,11.65,11.65,3
N,154,37055,11.15,11.15,11.05,11.05,200
N,154,37058,11.7,11.75,11.7,11.75,350
N,154,37061,10.5,10.5,10.5,10.5,8
N,154,37062,10.6,10.6,10.5,10.5,58
N,154,37066,10.5,10.5,10.5,10.5,350
N,154,37067,10.5,10.5,10.5,10.5,5
N,154,37069,10,10,10,10,9
N,154,37089,10,10,10,10,50
N,154,37109,11.5,11.5,11.5,11.5,4
N,154,37118,15.5,15.5,15.5,15.5,1
N,154,37122,14,14,14,14,50
N,154,37125,18,18,17.5,17.5,2
N,154,37128,13,13,13,13,45
N,154,37130,13.1,13.1,13.1,13.1,100
N,154,37135,12.5,12.5,12.5,12.5,50
N,154,37153,14.95,14.95,14.95,14.95,1
N,154,37160,13.1,13.1,13.1,13.1,83
N,154,37163,13.05,13.05,13.05,13.05,50
N,154,37167,13.5,13.5,13.5,13.5,25
N,154,37173,15.9,15.9,15.9,15.9,1
N,154,37174,12.7,12.7,12.7,12.7,100
N,154,37177,12.75,12.75,12.75,12.75,33
N,154,37178,13.25,13.25,13.25,13.25,28
N,154,37180,12.75,12.75,12.75,12.75,50
N,154,37184,13.8,13.8,13.8,13.8,16
N,154,37186,14.5,14.5,13.75,14.1,2
N,154,37187,14.5,14.5,14.5,14.5,200
N,154,37191,14,14,14,14,50
N,154,37192,13,13,13,13,66
N,154,37193,14,14,14,14,14
N,154,37194,13.75,13.9,13.75,13.9,151
N,154,37199,13.4,13.4,13.4,13.4,500
N,154,37200,13.25,13.25,13.25,13.25,40
N,154,37201,13.5,13.5,13.5,13.5,152
N,154,37212,13.25,13.25,13.25,13.25,1
N,154,37213,17,17,14,14,76
N,154,37216,13.55,13.55,13.55,13.55,50
N,154,37219,13.5,14,13.5,14,150
N,154,37222,15.2,15.2,15,15,50
N,154,37226,16.5,16.5,15,15,50
N,154,37227,15.9,15.9,15.7,15.85,316
N,154,37228,21.9,21.9,21.9,21.9,1
N,154,37230,15.1,15.1,15.1,15.1,51
N,154,37234,16.05,21.25,16.05,21.25,102
N,154,37235,21,21,15.15,21,401
N,154,37236,23,24.75,23,24.75,3
N,154,37241,24,24.5,15,22.5,249
N,154,37242,25,25,23,23.05,1309
N,154,37243,26.25,26.25,24,24,201
N,154,37244,23,23,23,23,150
N,154,37247,21.05,21.05,21.05,21.05,25
N,154,37250,25.4,25.4,22,22,30
N,154,37251,21.5,21.5,21.5,21.5,200
N,154,37254,20.8,20.95,17,19.2,669
N,154,37255,21.25,21.25,20,20,101
N,154,37257,21.9,21.9,19,19,251
N,154,37258,19.15,19.3,19,19.3,75
N,154,37261,19,19,19,19,150
N,154,37262,19,19,19,19,306
N,154,37263,19,19,19,19,500
N,154,37264,18,19,18,19,300
N,154,37265,20.5,20.5,18.35,18.35,541
N,154,37268,18.5,19,18.5,19,514
N,154,37269,18.5,18.5,18.5,18.5,359
N,154,37270,18.05,18.4,18.05,18.4,101
N,154,37271,18.7,19,18.7,19,1100
N,154,37272,18.1,18.2,18.1,18.2,38
N,154,37275,18.05,18.05,18.05,18.05,8
N,154,37276,18.05,18.05,18.05,18.05,266
N,154,37277,19.5,19.5,18.1,18.8,100
N,154,37278,18.75,19.15,18.75,19,524
N,154,37279,18.25,19,18.25,19,250
N,154,37282,18.25,18.95,18.25,18.95,69
N,154,37283,20.5,20.5,18.25,18.25,265
N,154,37284,18.5,18.5,18.25,18.45,399
N,154,37285,19,19,18.1,18.1,109
N,154,37286,18.25,18.25,18.25,18.25,55
N,154,37289,19.25,19.5,19.25,19.5,116
N,154,37290,19.6,19.6,19,19.3,1608
N,154,37291,19.5,19.5,19.5,19.5,114
N,154,37292,19.5,20.7,19.5,20,102
N,154,37293,20.5,20.85,20.5,20.5,661
N,154,37296,20.1,21.9,20.1,21.5,292
N,154,37297,20.25,22.95,20.25,21,296
N,154,37298,21.5,22.7,20.25,21.8,969
N,154,37299,20.8,23.55,20.8,23.55,2307
N,154,37300,22.2,24.75,22.2,23.15,692
N,154,37303,25,25,23,23.1,386
N,154,37304,22,23.3,22,22.5,665
N,154,37305,22.5,23.75,22.5,23.1,1621
N,154,37306,24,24,22.5,23.6,496
N,154,37307,23,23.9,23,23.2,334
N,154,37310,23.05,25,23.05,24.35,1076
N,154,37311,25,25,23.1,23.25,272
N,154,37312,25,25.15,23.5,25,1308
N,154,37313,26.5,26.5,23.75,24,221
N,154,37314,24.5,24.5,24.5,24.5,400
N,154,37317,24,26,24,26,5499
N,154,37318,24,26,24,25.75,2143
N,154,37319,27,27,25,25,1401
N,154,37320,27,27,25.45,25.55,3056
N,154,37321,27.4,27.4,25.1,25.9,526
N,154,37324,27.9,27.9,25,25.1,628
N,154,37325,26,26,24.5,24.55,504
N,154,37326,24.35,25,24.35,24.95,710
N,154,37327,24.5,24.65,24.5,24.65,1142
N,154,37328,24.5,26.4,24.5,25.5,1257
N,154,37331,24.5,24.6,24.5,24.55,1002
N,154,37332,24.5,25.85,24.5,24.9,183
N,154,37333,24.5,26.4,24.5,25,800
N,154,37334,26.5,26.5,25,25,520
N,154,37335,25,25,25,25,194
N,154,37339,24.5,26,24.5,26,201
N,154,37340,27.6,27.6,24.6,26.45,615
N,154,37341,26.4,27.45,25,27.05,1517
N,154,37345,25.75,25.75,25.75,25.75,70
N,154,37346,25.5,27.5,25.5,27.5,400
N,154,37347,29.5,29.5,26.4,29,1077
N,154,37348,29,31.35,29,31.35,5059
N,154,37349,31.8,32.6,31.8,32.6,5030
N,154,37352,33.9,33.9,33.9,33.9,25
N,154,37353,35.25,35.3,35.25,35.3,3288
N,154,37354,36.7,38.85,36.7,38.85,8623
N,154,37355,42.45,42.75,39.15,42.75,7433
N,154,37356,46.75,46.8,42,43.55,9083
N,154,37359,43.1,46,40,41.05,3307
N,154,37360,41.6,43.75,38,39.8,2301
N,154,37361,38.6,41.6,38.6,41.1,2387
N,154,37362,38.65,39.9,38.6,39.45,360
N,154,37363,40.8,41,39.1,39.65,3510
N,154,37366,40.9,43.6,40.2,43.25,5429
N,154,37367,43.75,45.5,43.6,44.7,2318
N,154,37368,45.55,45.55,43.15,43.95,1885
N,154,37369,42.55,45.45,42.55,43.65,1475
N,154,37370,42,44,42,43.2,695
N,154,37373,47,47,42.75,44.75,1469
N,154,37374,47,47.25,45.5,46.6,2379
N,154,37376,46,51.25,45,48.85,4442
N,154,37377,50,53.1,49.1,51.55,6412
